,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kodiak,1,US,1574194516,41,39.95,-94.76,62.01,8.05
1,Marion,1,US,1574194517,48,35.21,-90.2,66.0,8.05
2,Punta Arenas,75,CL,1574194518,70,-53.16,-70.91,51.8,9.17
3,Cape Town,20,ZA,1574194440,63,-33.93,18.42,62.01,19.46
4,Ushuaia,75,AR,1574194248,75,-54.81,-68.31,46.4,6.93
5,Geraldton,90,CA,1574194522,99,49.72,-86.95,32.0,2.24
6,Quatre Cocos,40,MU,1574194523,88,-20.21,57.76,77.0,9.91
7,Qaanaaq,100,GL,1574194524,77,77.48,-69.36,16.09,10.67
8,Iquique,0,CL,1574194495,64,-20.22,-70.14,69.8,16.11
9,Savannah Bight,47,HN,1574194526,58,16.45,-85.85,80.15,7.76
10,Te Anau,64,NZ,1574194528,73,-45.41,167.72,42.82,6.42
11,Busselton,28,AU,1574194529,82,-33.64,115.35,55.0,23.58
12,Ilulissat,90,GL,1574194530,79,69.22,-51.1,26.6,8.05
13,Sitka,0,US,1574194531,28,37.17,-99.65,75.0,21.99
14,Lompoc,75,US,1574194449,82,34.64,-120.46,71.01,19.46
15,Port Macquarie,90,AU,1574194533,68,-31.43,152.91,68.0,10.29
16,Moyale,100,ET,1574194535,80,3.52,39.05,72.43,3.13
17,Port Alfred,0,ZA,1574194536,81,-33.59,26.89,62.01,3.0
18,Rikitea,100,PF,1574194537,88,-23.12,-134.97,76.03,14.32
19,Sorland,100,NO,1574194538,70,67.67,12.69,44.6,12.75
20,Mataura,100,NZ,1574194539,92,-46.19,168.86,45.0,5.99
21,Vanavara,0,RU,1574194540,87,60.35,102.28,-19.12,3.96
22,Kapaa,90,US,1574194541,88,22.08,-159.32,82.4,3.15
23,Nieves,11,MX,1574194543,40,24.0,-103.02,72.82,4.85
24,Victoria,75,BN,1574194506,94,5.28,115.24,78.8,5.41
25,Ribeira Grande,40,PT,1574194545,63,38.52,-28.7,64.4,14.99
26,Bambous Virieux,40,MU,1574194546,88,-20.34,57.76,77.0,9.06
27,Mount Isa,0,AU,1574194547,25,-20.73,139.49,62.6,5.44
28,Lavrentiya,82,RU,1574194548,73,65.58,-170.99,24.19,28.86
29,Monzon,75,IT,1574194549,93,46.45,11.69,42.8,2.24
30,New Norfolk,75,AU,1574194551,71,-42.78,147.06,53.01,8.05
31,Roebourne,27,AU,1574194552,46,-20.77,117.15,76.82,7.92
32,Tasiilaq,75,GL,1574194553,86,65.61,-37.64,33.8,8.05
33,Pevek,0,RU,1574194554,97,69.7,170.27,-6.92,2.82
34,Leh,100,IN,1574194555,38,34.16,77.58,12.51,6.15
35,Bredasdorp,5,ZA,1574194557,76,-34.53,20.04,53.01,2.24
36,Vostok,99,RU,1574194558,98,46.45,135.83,-1.3,5.08
37,Williston,1,US,1574194289,69,48.15,-103.62,42.01,7.0
38,Albany,90,US,1574194278,86,42.65,-73.75,39.99,3.36
39,Shimoda,0,JP,1574194561,84,34.7,138.93,48.0,15.21
40,Tuatapere,90,NZ,1574194563,92,-46.13,167.69,45.0,5.99
41,Saint George,40,GR,1574194564,88,39.45,22.34,62.6,4.7
42,Faya,0,SA,1574194565,50,18.39,42.45,59.0,3.18
43,Denpasar,20,ID,1574194566,83,-8.65,115.22,80.6,3.36
44,Santa Fe,33,AR,1574194567,62,-31.62,-60.7,81.0,10.89
45,Hillsboro,90,US,1574194568,70,39.16,-89.49,55.99,18.34
46,Wattegama,100,LK,1574194569,96,7.35,80.68,70.72,2.15
47,Khatanga,100,RU,1574194571,97,71.98,102.47,-2.11,7.94
48,Key West,90,US,1574194572,100,47.93,-96.78,41.0,8.19
49,Severo-Kurilsk,100,RU,1574194573,94,50.68,156.12,28.54,19.28
50,Saint-Philippe,90,CA,1574194574,98,45.36,-73.48,34.0,3.0
51,Green River,1,US,1574194575,34,41.53,-109.47,55.0,5.82
52,Lorengau,99,PG,1574194577,75,-2.02,147.27,82.49,8.61
53,Castro,40,CL,1574194578,76,-42.48,-73.76,57.2,18.34
54,Salalah,20,OM,1574194579,78,17.01,54.1,80.6,3.36
55,Hilo,1,US,1574194580,69,19.71,-155.08,80.6,3.36
56,Ancud,40,CL,1574194581,76,-41.87,-73.83,57.2,18.34
57,Sabang,87,PH,1574194582,96,13.8,121.11,75.0,1.74
58,Jiangyou,100,CN,1574194583,95,31.78,104.73,39.74,1.23
59,Pacific Grove,90,US,1574194584,67,36.62,-121.92,66.99,14.99
60,Jurm,99,AF,1574194586,50,36.86,70.83,32.97,3.33
61,Vila Velha,20,BR,1574194587,69,-3.71,-38.6,86.0,12.75
62,Atuona,19,PF,1574194588,79,-9.8,-139.03,79.3,17.76
63,Mahebourg,40,MU,1574194590,88,-20.41,57.7,77.0,7.4
64,Rio Verde de Mato Grosso,36,BR,1574194591,42,-18.92,-54.84,90.75,4.05
65,Eureka,90,US,1574194328,87,40.8,-124.16,55.99,11.41
66,Thompson,90,CA,1574194593,92,55.74,-97.86,19.4,5.82
67,Port Elizabeth,1,US,1574194595,57,39.31,-74.98,54.0,6.93
68,Pueblo Nuevo,0,AR,1574194596,23,-32.93,-68.73,93.2,12.75
69,Barcelos,100,BR,1574194597,96,-0.97,-62.93,76.26,4.27
70,Northam,96,AU,1574194598,52,-31.65,116.67,64.4,11.41
71,Jamestown,0,AU,1574194600,17,-33.21,138.6,79.39,12.66
72,Bandarbeyla,81,SO,1574194601,82,9.49,50.81,80.24,7.76
73,Hermanus,0,ZA,1574194602,90,-34.42,19.24,57.99,1.99
74,Mangan,59,IN,1574194603,72,27.5,88.54,44.11,3.87
75,Irbeyskoye,100,RU,1574194605,85,55.64,95.45,20.68,2.77
76,Peru,90,US,1574194606,93,41.33,-89.13,39.99,5.82
77,Cooma,20,AU,1574194607,100,-36.24,149.13,41.0,3.36
78,Puerto Ayora,20,EC,1574194609,54,-0.74,-90.35,78.8,23.04
79,Panzhihua,88,CN,1574194610,83,26.59,101.72,48.13,1.1
80,Honiara,20,SB,1574194614,100,-9.43,159.96,71.6,1.9
81,Tuktoyaktuk,40,CA,1574194615,75,69.44,-133.03,-18.4,6.93
82,Dikson,100,RU,1574194616,96,73.51,80.55,9.68,8.21
83,Demba,92,CD,1574194618,88,-5.47,22.27,70.74,1.25
84,Lagoa,20,PT,1574194620,67,37.14,-8.45,57.2,2.24
85,Avarua,20,CK,1574194453,69,-21.21,-159.78,78.8,13.87
86,Tual,56,ID,1574194622,80,-5.67,132.75,80.91,6.51
87,Chimoio,75,MZ,1574194623,94,-19.11,33.48,73.4,2.44
88,Chuy,0,UY,1574194624,64,-33.69,-53.46,76.46,10.09
89,Arraial do Cabo,90,BR,1574194626,94,-22.97,-42.02,69.8,17.22
90,Esperance,90,AU,1574194627,93,-33.86,121.89,59.0,9.17
91,Tiksi,98,RU,1574194628,89,71.64,128.87,-14.22,5.41
92,Dingle,100,PH,1574194629,94,11.0,122.67,73.65,0.4
93,Lasa,0,CY,1574194630,58,34.92,32.53,59.0,8.05
94,Kyabe,0,TD,1574194631,28,9.45,18.94,79.32,3.13
95,Rajnagar,62,BD,1574194633,95,24.52,91.87,63.97,3.36
96,Chokurdakh,23,RU,1574194634,99,70.62,147.9,-13.34,1.81
97,Barrow,0,AR,1574194635,17,-38.31,-60.23,88.36,8.01
98,Darab,100,IR,1574194636,92,28.75,54.55,54.95,6.46
99,Mar del Plata,100,AR,1574194593,29,-46.43,-67.52,72.86,44.4
100,Luderitz,68,NA,1574194642,63,-26.65,15.16,62.6,18.34
101,Hobart,75,AU,1574194484,71,-42.88,147.33,54.0,8.05
102,Bluff,0,AU,1574194644,72,-23.58,149.07,74.55,1.01
103,Cockburn Town,60,TC,1574194645,72,21.46,-71.14,82.04,7.78
104,Beirut,0,LB,1574194468,55,33.9,35.48,66.2,5.82
105,Shebalino,100,RU,1574194647,95,51.29,85.68,3.2,3.69
106,Maldonado,20,UY,1574194649,54,-34.91,-54.96,78.8,9.17
107,Srednekolymsk,77,RU,1574194650,97,67.46,153.71,-22.11,7.63
108,Batagay-Alyta,97,RU,1574194651,99,67.8,130.41,-7.13,0.43
109,Kloulklubed,75,PW,1574194652,94,7.04,134.26,77.0,3.36
110,Canovanas,40,PR,1574194654,66,18.38,-65.91,86.0,9.17
111,Ust-Kuyga,100,RU,1574194655,99,70.0,135.55,-17.64,3.85
112,Butaritari,71,KI,1574194656,66,3.07,172.79,83.46,3.44
113,Pathein,0,MM,1574194657,85,16.78,94.73,76.32,5.57
114,Abapo,0,BO,1574194659,15,-18.83,-63.47,98.56,9.66
115,Airai,100,TL,1574194660,55,-8.93,125.41,64.69,4.56
116,Bethel,90,US,1574194661,92,60.79,-161.76,12.2,20.8
117,Nome,1,US,1574194662,36,30.04,-94.42,80.6,4.7
118,Usinsk,0,RU,1574194663,76,66.0,57.56,-12.71,5.77
119,Xining,100,CN,1574194665,42,36.62,101.77,24.8,3.96
120,Avenal,75,US,1574194666,43,36.0,-120.13,73.99,6.93
121,Kaitangata,100,NZ,1574194390,70,-46.28,169.85,49.21,23.09
122,Georgetown,40,GY,1574194539,74,6.8,-58.16,87.8,9.17
123,Romitan,90,UZ,1574194669,39,39.93,64.38,44.6,4.7
124,Lebu,77,ET,1574194671,85,8.96,38.73,54.34,1.99
125,Kolpashevo,100,RU,1574194672,95,58.31,82.9,0.77,7.2
126,Muros,90,ES,1574194673,100,42.77,-9.06,55.0,6.93
127,Provideniya,90,RU,1574194674,79,64.42,-173.23,23.0,17.9
128,Gracac,100,RS,1574194675,82,43.65,20.83,55.4,8.05
129,East London,2,ZA,1574194413,62,-33.02,27.91,64.15,12.53
130,Manono,100,CD,1574194679,93,-7.3,27.4,69.26,2.1
131,Bilibino,9,RU,1574194680,81,68.06,166.44,-9.53,2.66
132,San Patricio,13,PY,1574194682,45,-26.98,-56.83,91.76,3.74
133,Nikolskoye,75,RU,1574194683,93,59.7,30.79,42.01,6.71
134,Abu Samrah,0,SY,1574194684,24,35.3,37.18,55.53,4.18
135,Oblivskaya,1,RU,1574194685,71,48.54,42.5,31.5,7.05
136,Coahuayana,1,MX,1574194687,53,18.62,-100.35,87.06,2.53
137,Huautla,98,MX,1574194688,83,21.03,-98.29,70.77,4.85
138,Tazmalt,4,DZ,1574194689,87,36.39,4.4,42.84,2.51
139,Hukuntsi,60,BW,1574194690,73,-23.98,21.76,71.6,7.72
140,Fayaoue,69,NC,1574194691,68,-20.65,166.53,73.92,15.39
141,Vysha,78,RU,1574194692,93,53.85,42.38,33.03,6.24
142,Cherskiy,77,RU,1574194693,99,68.75,161.3,-17.03,0.51
143,Ostrovnoy,100,RU,1574194695,90,68.05,39.51,24.17,21.07
144,Kavieng,100,PG,1574194696,72,-2.57,150.8,83.26,6.49
145,Madera,1,US,1574194697,46,36.96,-120.06,73.0,13.87
146,Kokopo,68,PG,1574194698,78,-4.34,152.27,80.87,2.98
147,Pontes e Lacerda,99,BR,1574194699,62,-15.23,-59.33,85.14,5.59
148,Vaini,85,IN,1574194700,94,15.34,74.49,68.22,4.54
149,Vilyuysk,100,RU,1574194702,96,63.75,121.63,-9.18,8.95
150,Shagonar,100,RU,1574194703,88,51.54,92.92,9.16,0.74
151,Poum,90,MK,1574194704,87,41.28,20.71,50.0,2.24
152,Gat,100,SN,1574194705,61,14.69,-16.54,77.0,16.11
153,Edson,90,CA,1574194706,98,53.59,-116.44,32.0,2.24
154,Faanui,9,PF,1574194620,75,-16.48,-151.75,80.08,9.57
155,Verkhnyaya Inta,34,RU,1574194709,75,65.99,60.32,-11.02,4.47
156,Sosnovka,100,RU,1574194710,93,53.23,41.37,38.84,8.19
157,Weinan,0,CN,1574194711,86,34.5,109.46,48.0,0.96
158,Norman Wells,40,CA,1574194712,83,65.28,-126.83,-7.6,3.36
159,Pereslavl-Zalesskiy,100,RU,1574194713,92,56.74,38.86,37.17,7.54
160,Carballo,75,ES,1574194714,87,43.21,-8.69,52.0,5.82
161,Kalianget,100,ID,1574194716,96,-7.35,109.91,70.12,1.52
162,Kargasok,100,RU,1574194717,96,59.06,80.87,-6.03,12.44
163,Tezu,94,IN,1574194718,68,27.93,96.16,62.26,2.08
164,Carnarvon,70,ZA,1574194719,24,-30.97,22.13,58.69,12.97
165,Port Lincoln,67,AU,1574194720,13,-34.72,135.86,87.6,26.31
166,Vestmannaeyjar,100,IS,1574194721,72,63.44,-20.27,43.84,30.71
167,Gamba,82,CN,1574194723,64,28.28,88.52,21.92,1.88
168,Sambava,100,MG,1574194724,95,-14.27,50.17,73.2,2.37
169,Anadyr,40,RU,1574194725,84,64.73,177.51,5.0,6.71
170,Upernavik,100,GL,1574194726,89,72.79,-56.15,16.92,2.24
171,Taungdwingyi,0,MM,1574194727,77,20.0,95.55,67.41,2.15
172,Yulara,0,AU,1574194729,10,-25.24,130.99,69.8,3.36
173,Longyearbyen,75,NO,1574194730,74,78.22,15.63,28.4,17.22
174,Zhigansk,100,RU,1574194731,95,66.77,123.37,-9.51,16.35
175,Oranjemund,0,ZA,1574194732,74,-28.55,16.43,58.5,20.24
176,Namatanai,63,PG,1574194733,75,-3.66,152.44,83.21,9.44
177,Mobaye,8,CF,1574194735,77,4.33,21.18,74.34,0.76
178,Ambovombe,0,MG,1574194736,82,-25.18,46.09,75.43,2.35
179,Mezen,7,RU,1574194737,91,65.85,44.24,8.73,13.15
180,Alofi,40,NU,1574194738,69,-19.06,-169.92,80.6,3.36
181,Yellowknife,20,CA,1574194602,76,62.45,-114.38,-8.0,6.93
182,Tromso,100,NO,1574194740,64,69.65,18.96,39.2,26.4
183,Mnogovershinnyy,100,RU,1574194742,94,53.94,139.92,11.97,12.03
184,Cabo San Lucas,5,MX,1574194686,40,22.89,-109.91,86.0,9.17
185,Klamath Falls,75,US,1574194716,61,42.22,-121.78,46.99,11.41
186,Baykit,18,RU,1574194745,90,61.68,96.39,-23.08,2.26
187,Port Shepstone,96,ZA,1574194746,86,-30.74,30.45,60.6,5.39
188,Port Hedland,75,AU,1574194747,94,-20.31,118.58,77.0,10.29
189,Tautira,20,PF,1574194748,66,-17.73,-149.15,86.0,8.05
190,Broome,20,GB,1574194749,86,52.47,1.45,39.2,2.24
191,Tura,91,RU,1574194751,75,64.27,100.22,-18.8,0.31
192,Saldanha,100,PT,1574194752,89,41.42,-6.55,42.15,1.21
193,Orleans,1,BR,1574194753,78,-28.36,-49.29,72.12,2.68
194,Upington,33,ZA,1574194754,8,-28.46,21.24,75.2,4.7
195,Galle,37,GN,1574194755,73,10.08,-12.83,73.36,1.1
196,Ahlat,0,TR,1574194756,32,38.75,42.49,41.58,4.63
197,Rio Grande,27,BR,1574194477,61,-32.03,-52.1,82.4,14.99
198,Sao Felix do Xingu,69,BR,1574194759,69,-6.64,-51.99,82.42,3.98
199,Angoche,35,MZ,1574194760,87,-16.23,39.91,78.71,5.23
200,Serta,90,IT,1574194761,93,46.01,10.15,50.0,4.7
201,Matagami,100,NG,1574194762,45,9.67,8.4,74.19,3.24
202,Leogane,20,HT,1574194763,58,18.51,-72.63,87.8,8.05
203,Morant Bay,40,JM,1574194764,65,17.88,-76.41,82.4,19.46
204,Fez,75,MA,1574194766,93,34.03,-5.02,48.2,4.7
205,Dholka,40,IN,1574194767,73,22.73,72.44,69.8,2.24
206,Hualmay,1,PE,1574194768,64,-11.1,-77.61,69.62,7.83
207,Tamworth,0,AU,1574194769,30,-31.09,150.93,68.0,4.7
208,Jalu,0,LY,1574194771,48,29.03,21.55,66.47,10.76
209,Grindavik,75,IS,1574194772,80,63.84,-22.43,41.0,20.8
210,Fare,22,PF,1574194773,74,-16.7,-151.02,80.37,8.66
211,Kano,43,NG,1574194776,19,11.99,8.53,84.81,6.91
212,Ishigaki,100,JP,1574194777,83,24.34,124.16,71.28,32.99
213,Martapura,98,ID,1574194778,95,-3.41,114.85,72.93,2.17
214,Bafq,99,IR,1574194779,85,31.6,55.4,50.94,5.88
215,Zima,100,RU,1574194780,93,53.93,102.05,9.88,8.97
216,Rongcheng,0,CN,1574194781,56,37.16,122.42,38.77,5.64
217,Hithadhoo,85,MV,1574194782,79,-0.6,73.08,82.17,18.19
218,Adre,0,TD,1574194784,14,13.47,22.2,75.42,11.97
219,Ostersund,90,SE,1574194785,93,63.18,14.64,39.2,16.11
220,Hamilton,90,CA,1574194514,100,43.26,-79.87,39.99,2.24
221,Iqaluit,20,CA,1574194787,84,63.75,-68.52,3.2,9.17
222,Haines Junction,100,CA,1574194788,95,60.75,-137.51,21.18,12.57
223,Laguna,20,BZ,1574194789,61,16.17,-88.94,82.4,9.17
224,Almeirim,14,BR,1574194791,60,-1.53,-52.58,85.6,3.49
225,Mae Sai,0,MM,1574194792,100,20.44,99.89,64.4,2.24
226,Sal Rei,75,CV,1574194793,73,16.18,-22.92,75.2,13.87
227,Izhma,0,RU,1574194795,88,65.01,53.91,-3.96,3.53
228,Tessalit,100,ML,1574194796,12,20.2,1.01,69.82,8.48
229,Dzilam Gonzalez,100,MX,1574194797,67,21.28,-88.93,74.05,9.98
230,Ambon,90,FR,1574194798,87,47.55,-2.56,53.01,13.87
231,Turan,100,RU,1574194799,88,52.15,93.92,9.81,2.57
232,College,90,US,1574194800,84,64.86,-147.8,7.0,6.31
233,San Jeronimo,75,PE,1574194802,100,-13.65,-73.37,37.4,11.41
234,Ponta do Sol,100,BR,1574194803,84,-20.63,-46.0,72.48,0.51
235,Grand Gaube,40,MU,1574194804,88,-20.01,57.66,77.0,10.22
236,Clyde River,75,CA,1574194805,78,70.47,-68.59,15.8,14.99
237,Serov,8,RU,1574194806,93,59.61,60.57,-7.67,5.99
238,Fort William,100,GB,1574194807,90,56.82,-5.11,43.0,11.99
239,Margate,40,AU,1574194809,66,-43.03,147.26,55.0,6.93
240,Champerico,40,MX,1574194810,51,16.38,-93.6,82.4,5.41
241,Permet,100,AL,1574194811,89,40.23,20.35,55.99,3.0
242,Ajaccio,90,FR,1574194812,87,41.93,8.74,53.6,4.7
243,Mathbaria,2,BD,1574194814,71,22.29,89.96,65.93,4.54
244,Huarmey,43,PE,1574194815,54,-10.07,-78.15,73.87,8.79
245,Makakilo City,1,US,1574194816,78,21.35,-158.09,80.6,2.26
246,Falmouth,40,GB,1574194817,93,50.16,-5.07,52.0,16.11
247,Lahad Datu,14,MY,1574194818,92,5.02,118.33,75.45,3.78
248,Ayorou,10,NE,1574194820,16,14.73,0.92,85.28,6.29
249,Hobyo,80,SO,1574194821,81,5.35,48.53,79.59,10.94
250,Katsuura,40,JP,1574194822,66,33.93,134.5,51.8,12.75
251,Souillac,100,FR,1574194823,93,45.6,-0.6,39.99,4.7
252,Voh,50,NC,1574194824,75,-20.95,164.69,72.03,14.18
253,Methoni,49,GR,1574194825,82,36.82,21.7,64.99,3.36
254,Buchanan,100,LR,1574194827,89,5.88,-10.05,77.52,2.42
255,Benemerito de las Americas,91,MX,1574194828,55,16.52,-90.64,78.69,2.48
256,Pangnirtung,20,CA,1574194829,85,66.15,-65.72,10.4,3.36
257,Tailai,0,CN,1574194830,67,46.39,123.41,5.27,5.06
258,Tecpan,40,GT,1574194831,68,14.76,-90.99,71.6,11.41
259,Kaduqli,0,SD,1574194832,14,11.01,29.72,79.83,12.71
260,Linkoping,76,SE,1574194810,100,58.41,15.62,41.0,5.82
261,Egvekinot,33,RU,1574194835,94,66.32,-179.17,-0.31,10.38
262,Codrington,90,AU,1574194836,93,-28.95,153.24,70.0,3.36
263,Tungor,100,RU,1574194837,76,53.39,142.95,29.59,21.97
264,Abonnema,40,NG,1574194839,83,4.71,6.79,80.6,3.36
265,Ormond Beach,1,US,1574194726,39,29.29,-81.06,71.01,14.99
266,Kodinsk,100,RU,1574194841,96,58.6,99.18,-3.66,4.54
267,Bilma,67,NE,1574194842,18,18.69,12.92,76.84,4.03
268,Torbay,90,CA,1574194843,93,47.66,-52.73,51.01,16.04
269,Verkhoyansk,92,RU,1574194844,98,67.55,133.39,-14.85,1.3
270,Lida,33,BY,1574194846,95,53.9,25.3,39.16,6.33
271,Vanimo,100,PG,1574194847,80,-2.67,141.3,80.89,6.91
